Time[ms],Realtime Tick,Present Position,Goal Position,Position Trajectory
53947,5867,2681,2594,2594
54026,5946,2681,2594,2594
54106,6026,2681,2594,2594
54187,6107,2681,2594,2594
54267,6187,2681,2594,2594
54347,6267,2681,2594,2594
54426,6346,2681,2594,2594
54507,6427,2681,2594,2594
54587,6507,2681,2594,2594
54668,6588,2681,2594,2594
54747,6667,2681,2594,2594
54827,6747,2681,2594,2594
54907,6827,2681,2594,2594
54986,6906,2681,2594,2594
55067,6987,2681,2594,2594
55147,7067,2681,2594,2594
55227,7147,2681,2594,2594
55307,7227,2681,2594,2594
55387,7307,2681,2594,2594
55468,7388,2681,2594,2594
55547,7467,2681,2594,2594
55626,7546,2681,2594,2594
55706,7626,2681,2594,2594
55787,7707,2681,2594,2594
55867,7787,2681,2594,2594
55946,7866,2681,2594,2594
56027,7947,2681,2594,2594
56106,8026,2681,2594,2594
56187,8107,2681,2594,2594
56267,8187,2681,2594,2594
56346,8266,2681,2594,2594
56426,8346,2681,2594,2594
56507,8427,2681,2594,2594
56587,8507,2681,2594,2594
56666,8586,2681,2594,2594
56747,8667,2681,2594,2594
56826,8746,2681,2594,2594
56906,8826,2681,2594,2594
56987,8907,2681,2594,2594
